band,wave,heard_of_them_before_article,know_them_now,regular_rotation
Indian Summer,1984-1994,1,1,0
Jawbreaker,1984-1994,1,0,0
Rites of Spring,1984-1994,1,0,0
American Football,1994-2000,1,1,1
At the Drive-In,1994-2000,1,1,1
Braid,1994-2000,1,1,1
Cursive,1994-2000,1,1,1
Glassjaw,1994-2000,1,0,0
Jets to Brazil,1994-2000,1,1,0
Jimmy Eat World,1994-2000,1,1,1
Mineral,1994-2000,1,0,0
Piebald,1994-2000,1,1,1
Rainer Maria,1994-2000,1,1,1
Sunny Day Real Estate,1994-2000,1,1,1
The Get Up Kids,1994-2000,1,1,1
The Promise Ring,1994-2000,1,1,1
Brand New,2000-2008,1,1,0
Dashboard Confessional,2000-2008,1,1,1
Fall Out Boy,2000-2008,1,1,0
Further Seems Forever,2000-2008,1,1,1
Hawthorne Heights,2000-2008,1,1,0
My Chemical Romance,2000-2008,1,1,0
Saves the Day,2000-2008,1,1,1
Senses Fail,2000-2008,1,1,0
Something Corporate,2000-2008,1,0,0
Taking Back Sunday,2000-2008,1,1,1
The Anniversary,2000-2008,1,1,1
The Early November,2000-2008,1,0,0
The Juliana Theory,2000-2008,1,1,1
Thursday,2000-2008,1,1,0
Coldplay,Not Emo,1,1,1
Collective Soul,Not Emo,1,1,0
Fugazi,Not Emo,1,1,1
Minor Threat,Not Emo,1,1,0
Nirvana,Not Emo,1,1,0
Soundgarden,Not Emo,1,1,0
The Ramones,Not Emo,1,1,1
The Velvet Underground,Not Emo,1,1,1
Bad Religion,Not Emo,1,1,0
Coheed and Cambria,2000-2008,1,1,1
Finch,Not Emo,1,0,0
New Found Glory,Not Emo,1,1,0
The Used,Not Emo,1,1,0
Dag Nasty,1984-1994,0,0,0
Drive Like Jehu,1984-1994,0,0,0
Embrace,1984-1994,0,0,0
Moss Icon,1984-1994,0,0,0
The Faith,1984-1994,0,0,0
Cap’n Jazz,1994-2000,0,0,0
Christie Front Drive,1994-2000,0,0,0
Elliott,1994-2000,0,0,0
Orchid,1994-2000,0,0,0
Quicksand,1994-2000,0,0,0
Texas is the Reason,1994-2000,0,0,0
The Appleseed Cast,1994-2000,0,0,0
Acceptance,2000-2008,0,0,0
Armor for Sleep,2000-2008,0,0,0
Bayside,2000-2008,0,0,0
Lemuria,2000-2008,0,0,0
Northstar,2000-2008,0,0,0
Silverstein,2000-2008,0,0,0
Straylight Run,2000-2008,0,0,0
The Movielife,2000-2008,0,0,0
The Spill Canvas,2000-2008,0,0,0
The Starting Line,2000-2008,0,0,0
Touché Amoré,2000-2008,0,0,0
A Great Big Pile of Leaves,2008-2018,0,0,0
Balance And Composure,2008-2018,0,0,0
Basement,2008-2018,0,0,0
Bicycle Inn,2008-2018,0,0,0
Carb on Carb,2008-2018,0,0,0
Deer Leap,2008-2018,0,0,0
empire! empire! (i was a lonely estate),2008-2018,0,0,0
Foxing,2008-2018,0,0,0
Gleemer,2008-2018,0,0,0
Have Mercy,2008-2018,0,0,0
Into It. Over It.,2008-2018,0,0,0
Joyce Manor,2008-2018,0,0,0
Just Friends,2008-2018,0,0,0
Kississippi,2008-2018,0,1,1
Kittyhawk,2008-2018,0,0,0
Marietta,2008-2018,0,0,0
Modern Baseball,2008-2018,0,0,0
Mom Jeans.,2008-2018,0,0,0
Origami Angel,2008-2018,0,0,0
Oso Oso,2008-2018,0,0,0
Owen,2008-2018,0,0,0
Petal,2008-2018,0,0,0
Pianos Become the Teeth,2008-2018,0,0,0
Pity Sex,2008-2018,0,0,0
Pool Kids,2008-2018,0,0,0
Sorority Noise,2008-2018,0,0,0
Super American,2008-2018,0,0,0
The Front Bottoms,2008-2018,0,0,0
The Hotelier,2008-2018,0,0,0
The Menzingers,2008-2018,0,0,0
The World Is a Beautiful Place & I Am No Longer Afraid to Die,2008-2018,0,0,0
Tigers Jaw,2008-2018,0,0,0
Tiny Moving Parts,2008-2018,0,0,0
Turnover,2008-2018,0,0,0
We Are The In Crowd,2008-2018,0,0,0
worlds greatest dad,2008-2018,0,0,0
You Blew It!,2008-2018,0,0,0
King Crimson,Not Emo,0,0,0
Chiodos,Not Emo,0,0,0
Destry,,0,0,0
The Format,2000-2008,0,0,0
Underoath,Not Emo,0,0,0